review_id,review_text
1,"Love it. Simple and fast."
2,"Crashes every time I try to upload a photo. Uninstalled."
3,"Solid for what it does. Wish there was dark mode and a way to export my lists without paying for premium."
4,"Ok"
5,"Been using this for three months for meal planning. The recipes are fine but search is clunky and results feel random. Customer support replied in two days which was fine."
6,"Five stars!!!"
7,"Not bad but the onboarding is way too long and asks for permissions I do not think the app needs. Privacy policy is a wall of text. Deleted after one day."
8,"This app changed how I track habits. Clear UI, gentle reminders, and I actually stuck with it. Only nit: widgets sometimes show yesterday's count until I open the app."
9,"Garbage. Ads everywhere. Could not find settings. Would give zero stars if I could."
10,"Pretty good overall. Occasional lag when switching tabs. Hoping the next update fixes sync between phone and tablet."
