search_topic,openlibrary_work_key,title,author_name,first_publish_year,publish_years,subjects,languages,edition_count,publishers,publication_places
artificial intelligence,/works/OL44867871W,The Mind Behind The Machine,Artificial Intelligence,2026,2026,Artificial Intelligence; Talal Abu-Ghazaleh; Machine Intelligence; Digital Philosophy; Leadership and Ethics; Systems Thinking; Knowledge Economy; Intellectual Property; Education and Innovation; Institutional Leadership; Arab Thought Leaders; TAG,eng,1,"Abu-Ghazaleh Translation, Distribution & Publishing",
artificial intelligence,/works/OL44913796W,Transition Age,,2026,2026,Young adult science fiction; dystopian; post-apocalyptic survival; vertical megacities; engineered society; artificial intelligence; cyber thriller; psychohistorical thriller; social hierarchy; surveillance state; memory loss; genetic engineering; medical lore; family secrets; human optimization; Chicago in fiction; year 2159; sleeper cells; coming of age; philosophical science fiction.,eng,1,Tyler Corriveau,"Chicago (Ill.); Chicago Metropolitan Area; New York City; Manhattan (New York, N.Y.); Seattle; Seattle Metropolitan Area"
artificial intelligence,/works/OL44711065W,Epistémologie de l'IA – New Entry SOTA First Identification Ontosemantic FIO Dorian Codex Protocol et sa formule mathématique heuristique chimère H_safe – Test Analysis 4 LLM,Stefano Dorian Franco,2026,2026,Artificial intelligence; Epistemology; Philosophy: epistemology & theory of knowledge; Social sciences -> philosophy -> epistemology,,1,Studio SFB creation multimedia / Amazon KDP,
artificial intelligence,/works/OL44977494W,How to Write a Paper,Andrew David Naselli,2026,2026,,eng,1,Build & Fight Press,
artificial intelligence,/works/OL44766535W,The Art Book,Lori Randolph,2026,2026,Modern Art; Graphic arts; Art collections; Artificial intelligence; In art; Decorative arts; Modern Painting; French Painting; Italian Art; British Art; art for kids,,1,Self-Published,
artificial intelligence,/works/OL45142895W,Seven AI Laws The Future of Mankind,Adv Prashant Mali,2026,2026,"Artificial Intelligence; Legal status, laws; Social policy; Governance; Social Responsibility; Psychology",eng,1,Cyber Infomedia,India; USA
artificial intelligence,/works/OL45147574W,Transforming Medicinal Plant Agriculture,Pankaj Kumar; Ashish R. Warghat,2026,2026,Artificial intelligence; Social sciences; Engineering; Agriculture; Biotechnology,eng,1,Springer,
artificial intelligence,/works/OL45147595W,Philosophy of  Intelligence,Ermanno Bencivenga,2026,2026,"Technology; Artificial intelligence; Knowledge, theory of",eng,1,Springer,
artificial intelligence,/works/OL45147699W,My Coworker Is a Robot,Jon Swartz,2026,2026,"Artificial intelligence; Human-computer interaction; Computers, social aspects",eng,1,"Wiley & Sons, Limited, John",
artificial intelligence,/works/OL45147716W,Artificial Intelligence Transforming Marketing,José Duarte Santos; Paulo Botelho Pires; Joaquim Pratas,2026,2026,,eng,1,Springer,
artificial intelligence,/works/OL45147728W,Conscious Consumption,Pascal Stiefenhofer,2026,2026,,eng,1,Palgrave Macmillan,
artificial intelligence,/works/OL45147737W,Artificial Intelligence in Public Health,Min Wu,2026,2026,,eng,1,Springer,
artificial intelligence,/works/OL45147744W,Artificial Intelligence for Biomedical Data,Cristian Tommasino; Cristiano Russo; Michele Bernardini,2026,2026,,eng,1,Springer,
artificial intelligence,/works/OL45147785W,Classical Philosophical Approach to Artificial Intelligence,Ricardo F. Crespo,2026,2026,,eng,1,Palgrave Macmillan,
artificial intelligence,/works/OL45147789W,Artificial Intelligence in Digital Image Processing,Hang Chen; Zhengjun Liu,2026,2026,,eng,1,Springer,
artificial intelligence,/works/OL45147943W,AI for the Ordinary,Raghu Vijay Kowshik; Peter Jay Sorenson,2026,2026,Computer science; Expert systems (computer science); Natural language processing (computer science); Artificial intelligence; Technology,eng,1,Taylor & Francis Group,
artificial intelligence,/works/OL45148104W,Tools of the Scribe,Brian Roark; Richard Sproat; Su-Youn Yoon,2026,2026,Computer sound processing; Linguistics; Human-computer interaction; User interfaces (computer systems); Artificial intelligence; Library science,eng,1,Springer,
artificial intelligence,/works/OL45148026W,Proceedings of 2025 International Conference on Artificial Intelligence and Autonomous Transportation,Jun Liu; Honghai Ji; Kailong Li; Shida Liu; Zhihui Hu,2026,2026,,eng,1,Springer,
artificial intelligence,/works/OL45148040W,Artificial Intelligence for Advancing Education Quality and Inclusion,Tianchong Wang; Therese Keane,2026,2026,,eng,1,Springer,
artificial intelligence,/works/OL45151427W,Revolutionizing Quick Commerce with AI Tools and Technologies,Nozha Erragcha; Rabia Romdhane,2026,2026,Electronic commerce; Artificial intelligence,eng,1,IGI Global Scientific Publishing,
artificial intelligence,/works/OL45151430W,Safeguarding Social Justice and Human Rights in the Age of AI,Sudershan Pasupuleti; Urmila Yadav,2026,2026,Artificial intelligence; Social action; Human rights,eng,1,IGI Global Scientific Publishing,
